category,skill,level,question,answer
Frontend,HTML,Easy,What does HTML stand for?,HyperText Markup Language.
Frontend,HTML,Easy,What is the latest version of HTML?,HTML5.
Frontend,HTML,Easy,What is the purpose of HTML?,To structure and display content on web pages.
Frontend,HTML,Easy,What is the difference between HTML and CSS?,"HTML structures content, CSS styles it."
Frontend,HTML,Easy,What is the difference between HTML and JavaScript?,"HTML structures content, JavaScript adds interactivity."
Frontend,HTML,Easy,What is a tag in HTML?,"A tag defines an element in HTML, written inside < >."
Frontend,HTML,Easy,What is an element in HTML?,"An element consists of a start tag, content, and an end tag."
Frontend,HTML,Easy,What are attributes in HTML?,"Attributes provide extra information about elements, e.g., href in <a>."
Frontend,HTML,Easy,What is the root element of an HTML page?,<html>.
Frontend,HTML,Easy,Which tag is used to create a hyperlink?,<a>.
Frontend,HTML,Easy,Which tag is used to insert an image?,<img>.
Frontend,HTML,Easy,What is the alt attribute in <img> tag?,It provides alternative text if the image is not displayed.
Frontend,HTML,Easy,Which tag is used for line breaks?,<br>.
Frontend,HTML,Easy,Which tag is used for horizontal lines?,<hr>.
Frontend,HTML,Easy,Which tag is used to create headings?,<h1> to <h6>.
Frontend,HTML,Easy,Which tag is used to create a paragraph?,<p>.
Frontend,HTML,Easy,Which tag is used for bold text?,<b> or <strong>.
Frontend,HTML,Easy,Which tag is used for italic text?,<i> or <em>.
Frontend,HTML,Easy,Which tag is used to display preformatted text?,<pre>.
Frontend,HTML,Easy,Which tag is used to create a list with bullets?,<ul>.
Frontend,HTML,Easy,Which tag is used to create a numbered list?,<ol>.
Frontend,HTML,Easy,Which tag is used to create a list item?,<li>.
Frontend,HTML,Easy,Which tag is used to create a table?,<table>.
Frontend,HTML,Easy,Which tags are used inside a table?,"<tr>, <th>, <td>."
Frontend,HTML,Easy,Which tag is used to create a form?,<form>.
Frontend,HTML,Easy,Which tag is used to create an input field?,<input>.
Frontend,HTML,Easy,Which tag is used to create a dropdown menu?,<select>.
Frontend,HTML,Easy,Which tag is used to create options inside a dropdown?,<option>.
Frontend,HTML,Easy,Which tag is used for checkboxes?,"<input type=""checkbox"">."
Frontend,HTML,Easy,Which tag is used for radio buttons?,"<input type=""radio"">."
Frontend,HTML,Easy,Which tag is used for submitting a form?,"<input type=""submit""> or <button type=""submit"">."
Frontend,HTML,Easy,What does the <head> tag contain?,"Metadata, title, links, scripts, styles."
Frontend,HTML,Easy,Which tag defines the title of a webpage?,<title>.
Frontend,HTML,Easy,Which tag is used to include CSS in HTML?,<link> or <style>.
Frontend,HTML,Easy,Which tag is used to include JavaScript in HTML?,<script>.
Frontend,HTML,Easy,What is the difference between <div> and <span>?,"<div> is a block element, <span> is inline."
Frontend,HTML,Easy,What is the difference between block and inline elements?,Block takes full width and starts new line; inline takes only necessary space.
Frontend,HTML,Easy,What is semantic HTML?,"HTML that conveys meaning, like <header>, <footer>, <article>."
Frontend,HTML,Easy,What is the difference between <strong> and <b>?,"<strong> indicates importance, <b> only makes text bold."
Frontend,HTML,Easy,What is the difference between <em> and <i>?,"<em> emphasizes text, <i> only makes text italic."
Frontend,HTML,Easy,What is the difference between absolute and relative URLs?,"Absolute includes full path, relative depends on current location."
Frontend,HTML,Easy,Which attribute is used to open a link in a new tab?,"target=""_blank""."
Frontend,HTML,Easy,Which tag is used for inline frames?,<iframe>.
Frontend,HTML,Easy,Which attribute specifies the source of an image?,src.
Frontend,HTML,Easy,What does the placeholder attribute do?,Displays hint text inside an input field.
Frontend,HTML,Easy,What is the purpose of the required attribute?,Makes form fields mandatory.
Frontend,HTML,Easy,What does the readonly attribute do?,Makes an input uneditable but still visible.
Frontend,HTML,Easy,What does the disabled attribute do?,Disables an input so users cannot interact with it.
Frontend,HTML,Easy,Which tag is used to display a video?,<video>.
Frontend,HTML,Easy,Which tag is used to display audio?,<audio>.
Frontend,HTML,Medium,What is the difference between HTML4 and HTML5?,"HTML5 introduced new semantic tags, multimedia support, form controls, and APIs."
Frontend,HTML,Medium,What are semantic tags in HTML5?,"Tags that add meaning, e.g., <header>, <footer>, <article>, <section>."
Frontend,HTML,Medium,What is the difference between <section> and <article>?,"<section> groups related content, <article> is independent content (like a blog post)."
Frontend,HTML,Medium,What is the difference between <header> and <head>?,"<header> is a page/section header, <head> contains metadata and resources."
Frontend,HTML,Medium,What is the difference between <figure> and <img>?,"<figure> groups an image with a caption using <figcaption>, while <img> only displays the image."
Frontend,HTML,Medium,What is the difference between <main> and <body>?,"<main> holds the primary content, <body> contains everything visible in the page."
Frontend,HTML,Medium,What is the use of <nav> tag?,It defines navigation links.
Frontend,HTML,Medium,"What is the difference between inline, internal, and external CSS in HTML?","Inline is inside a tag, internal inside <style>, external via <link>."
Frontend,HTML,Medium,What is the difference between <link> and <a> tag?,"<link> is for resources (CSS, favicon), <a> creates hyperlinks."
Frontend,HTML,Medium,What is the difference between id and class in HTML?,"Id is unique for one element, class can be shared by multiple elements."
Frontend,HTML,Medium,"What is the difference between relative, absolute, and fixed paths for links?","Relative is based on current file, absolute is full URL, fixed path is from root."
Frontend,HTML,Medium,What is the difference between <script> in <head> and at end of <body>?,"In <head> it loads before content (can block rendering), in <body> it loads after content."
Frontend,HTML,Medium,What is the difference between <noscript> and <script>?,<noscript> defines content shown if JavaScript is disabled.
Frontend,HTML,Medium,What is the difference between defer and async in <script>?,"async loads script while parsing, defer runs after HTML is parsed."
Frontend,HTML,Medium,What is the difference between inline elements and block-level elements in HTML5?,"Block takes full width (e.g., <div>), inline fits only content (e.g., <span>)."
Frontend,HTML,Medium,What is the difference between <em> and <mark>?,"<em> emphasizes text, <mark> highlights text."
Frontend,HTML,Medium,What is the difference between <small> and <sub>?,"<small> reduces font size, <sub> makes text subscript."
Frontend,HTML,Medium,What is the difference between <abbr> and <acronym>?,"<abbr> defines an abbreviation with title, <acronym> is obsolete in HTML5."
Frontend,HTML,Medium,What is the difference between <u> and <ins>?,"<u> underlines text visually, <ins> represents inserted text semantically."
Frontend,HTML,Medium,What is the difference between <bdo> and <bdi>?,"<bdo> overrides text direction, <bdi> isolates bidirectional text."
Frontend,HTML,Medium,"What is the difference between <meta charset=""UTF-8""> and <meta http-equiv>?","charset defines character encoding, http-equiv sets HTTP header-like metadata."
Frontend,HTML,Medium,What is the difference between viewport meta tag and responsive design?,"Viewport meta controls scaling, responsive design adapts layout via CSS."
Frontend,HTML,Medium,What is the purpose of alt and title attributes in images?,"alt is for accessibility/SEO, title shows tooltip on hover."
Frontend,HTML,Medium,"What is the difference between inline SVG and <img src=""svg"">?","Inline SVG allows styling and scripting, <img> is just an image reference."
Frontend,HTML,Medium,What is the difference between <video> controls and <audio> controls?,"Both add media players, <video> shows visual controls, <audio> has sound-only."
Frontend,HTML,Medium,What is the difference between <canvas> and <svg>?,"<canvas> is pixel-based drawing, <svg> is vector-based graphics."
Frontend,HTML,Medium,What is the difference between <source> and <track> in media tags?,"<source> specifies media files, <track> adds captions/subtitles."
Frontend,HTML,Medium,What is the difference between GET and POST in HTML forms?,"GET appends data in URL, POST sends in request body."
Frontend,HTML,Medium,What is the difference between action and method in forms?,"action specifies where data goes, method specifies how (GET/POST)."
Frontend,HTML,Medium,What is the difference between name and id attributes in forms?,"name is for form submission, id uniquely identifies element in DOM."
Frontend,HTML,Medium,What is the difference between required and pattern attributes?,"required makes a field mandatory, pattern enforces regex format."
Frontend,HTML,Medium,What is the difference between disabled and readonly in inputs?,"disabled field cannot be edited or submitted, readonly is not editable but submitted."
Frontend,HTML,Medium,What is the difference between checkbox and radio button?,"Checkbox allows multiple selections, radio allows only one in a group."
Frontend,HTML,Medium,What is the difference between <datalist> and <select>?,"<datalist> gives suggestions with free typing, <select> restricts to options."
Frontend,HTML,Medium,What is the difference between placeholder and value attributes in inputs?,"placeholder shows hint text, value shows actual input value."
Frontend,HTML,Medium,What is the difference between <label> with for and without for?,"With for, label links to an input id; without, input must be nested inside label."
Frontend,HTML,Medium,What is the difference between <fieldset> and <legend>?,"<fieldset> groups form elements, <legend> provides a caption."
Frontend,HTML,Medium,What is the difference between <meter> and <progress>?,"<meter> shows a known measurement (e.g., score), <progress> shows task progress."
Frontend,HTML,Medium,What is the difference between inline event handling and JavaScript event listeners?,"Inline uses onclick in HTML, listeners use JavaScript’s addEventListener()."
Frontend,HTML,Medium,What is the difference between accessibility and SEO in HTML?,"Accessibility improves usability for all users, SEO improves search ranking."
Frontend,HTML,Medium,What is ARIA in HTML?,Accessible Rich Internet Applications – attributes that improve screen reader support.
Frontend,HTML,Medium,What is the difference between aria-label and alt?,"aria-label is for accessibility on any element, alt is specific to images."
Frontend,HTML,Medium,"What is the difference between absolute, relative, and fixed positioning in HTML/CSS?","Absolute positions relative to nearest ancestor, relative to itself, fixed to viewport."
Frontend,HTML,Medium,What is the difference between inline frames and embedding with <object>?,"<iframe> embeds another webpage, <object> can embed media, PDFs, etc."
Frontend,HTML,Medium,"What is the difference between cookies, localStorage, and sessionStorage in HTML5?","Cookies are small server-stored data, localStorage persists, sessionStorage clears when tab closes."
Frontend,HTML,Medium,What is the difference between HTML entities and Unicode characters?,"Entities use &entity; (e.g., &lt;), Unicode uses actual code points."
Frontend,HTML,Medium,What is the difference between <base> tag and <link> tag?,"<base> sets default URL for links, <link> references external resources."
Frontend,HTML,Medium,What is the difference between inline styles and external stylesheets for performance?,"Inline increases page size, external allows caching and reuse."
Frontend,HTML,Medium,What is the difference between HTML validation and linting?,"Validation checks HTML against W3C rules, linting checks coding style and errors."
Frontend,HTML,Medium,What is the difference between inline HTML comments and conditional comments?,"Inline comments <!-- comment --> hide code from rendering, conditional comments (used in old IE) apply only to specific Internet Explorer versions."
Frontend,HTML,Hard,What is the difference between HTML and XHTML?,"XHTML is stricter, requires proper nesting, lowercase tags, and closed elements."
Frontend,HTML,Hard,What is the difference between HTML5 and older versions regarding doctype?,"HTML5 uses a simple <!DOCTYPE html>, older versions had long doctypes."
